FID,cd_recorte,quadro,cd_mun,nm_mun,id
qg_2022_030_munic.171,03011501451,030,1501451,Belterra,171
qg_2022_030_munic.172,03011501501,030,1501501,Benevides,172
qg_2022_030_munic.173,03011501576,030,1501576,Bom Jesus do Tocantins,173
qg_2022_030_munic.174,03011501600,030,1501600,Bonito,174
qg_2022_030_munic.175,03011501709,030,1501709,Bragança,175
qg_2022_030_munic.176,03011501725,030,1501725,Brasil Novo,176
qg_2022_030_munic.177,03011501758,030,1501758,Brejo Grande do Araguaia,177
qg_2022_030_munic.178,03011501782,030,1501782,Breu Branco,178
qg_2022_030_munic.179,03011501808,030,1501808,Breves,179
qg_2022_030_munic.180,03011501907,030,1501907,Bujaru,180
qg_2022_030_munic.181,03011501956,030,1501956,Cachoeira do Piriá,181
qg_2022_030_munic.182,03011502004,030,1502004,Cachoeira do Arari,182
qg_2022_030_munic.183,03011502103,030,1502103,Cametá,183
qg_2022_030_munic.184,03011502152,030,1502152,Canaã dos Carajás,184
qg_2022_030_munic.185,03011502202,030,1502202,Capanema,185
qg_2022_030_munic.186,03011502301,030,1502301,Capitão Poço,186
qg_2022_030_munic.187,03011502400,030,1502400,Castanhal,187
qg_2022_030_munic.188,03011502509,030,1502509,Chaves,188
qg_2022_030_munic.189,03011502608,030,1502608,Colares,189
qg_2022_030_munic.190,03011502707,030,1502707,Conceição do Araguaia,190
qg_2022_030_munic.191,03011502756,030,1502756,Concórdia do Pará,191
qg_2022_030_munic.192,03011502764,030,1502764,Cumaru do Norte,192
qg_2022_030_munic.193,03011502772,030,1502772,Curionópolis,193
qg_2022_030_munic.194,03011502806,030,1502806,Curralinho,194
qg_2022_030_munic.195,03011502855,030,1502855,Curuá,195
qg_2022_030_munic.196,03011502905,030,1502905,Curuçá,196
qg_2022_030_munic.197,03011502939,030,1502939,Dom Eliseu,197
qg_2022_030_munic.198,03011502954,030,1502954,Eldorado do Carajás,198
qg_2022_030_munic.199,03011503002,030,1503002,Faro,199
qg_2022_030_munic.200,03011503044,030,1503044,Floresta do Araguaia,200
qg_2022_030_munic.201,03011503077,030,1503077,Garrafão do Norte,201
qg_2022_030_munic.202,03011503093,030,1503093,Goianésia do Pará,202
qg_2022_030_munic.203,03011503101,030,1503101,Gurupá,203
qg_2022_030_munic.204,03011503200,030,1503200,Igarapé-Açu,204
qg_2022_030_munic.205,03011503309,030,1503309,Igarapé-Miri,205
qg_2022_030_munic.206,03011503408,030,1503408,Inhangapi,206
qg_2022_030_munic.207,03011503457,030,1503457,Ipixuna do Pará,207
qg_2022_030_munic.208,03011503507,030,1503507,Irituia,208
qg_2022_030_munic.209,03011503606,030,1503606,Itaituba,209
qg_2022_030_munic.210,03011503705,030,1503705,Itupiranga,210
qg_2022_030_munic.211,03011503754,030,1503754,Jacareacanga,211
qg_2022_030_munic.212,03011503804,030,1503804,Jacundá,212
qg_2022_030_munic.213,03011503903,030,1503903,Juruti,213
qg_2022_030_munic.214,03011504000,030,1504000,Limoeiro do Ajuru,214
qg_2022_030_munic.215,03011504059,030,1504059,Mãe do Rio,215
qg_2022_030_munic.216,03011504109,030,1504109,Magalhães Barata,216
qg_2022_030_munic.217,03011504208,030,1504208,Marabá,217
qg_2022_030_munic.218,03011504307,030,1504307,Maracanã,218
qg_2022_030_munic.219,03011504406,030,1504406,Marapanim,219
qg_2022_030_munic.220,03011504422,030,1504422,Marituba,220
qg_2022_030_munic.221,03011504455,030,1504455,Medicilândia,221
qg_2022_030_munic.222,03011504505,030,1504505,Melgaço,222
qg_2022_030_munic.223,03011504604,030,1504604,Mocajuba,223
qg_2022_030_munic.224,03011504703,030,1504703,Moju,224
qg_2022_030_munic.225,03011504752,030,1504752,Mojuí dos Campos,225
qg_2022_030_munic.226,03011504802,030,1504802,Monte Alegre,226
qg_2022_030_munic.227,03011504901,030,1504901,Muaná,227
qg_2022_030_munic.228,03011504950,030,1504950,Nova Esperança do Piriá,228
qg_2022_030_munic.229,03011504976,030,1504976,Nova Ipixuna,229
qg_2022_030_munic.230,03011505007,030,1505007,Nova Timboteua,230
qg_2022_030_munic.231,03011505031,030,1505031,Novo Progresso,231
qg_2022_030_munic.232,03011505064,030,1505064,Novo Repartimento,232
qg_2022_030_munic.233,03011505106,030,1505106,Óbidos,233
qg_2022_030_munic.234,03011505205,030,1505205,Oeiras do Pará,234
qg_2022_030_munic.235,03011505304,030,1505304,Oriximiná,235
qg_2022_030_munic.236,03011505403,030,1505403,Ourém,236
qg_2022_030_munic.237,03011505437,030,1505437,Ourilândia do Norte,237
qg_2022_030_munic.238,03011505486,030,1505486,Pacajá,238
qg_2022_030_munic.239,03011505494,030,1505494,Palestina do Pará,239
qg_2022_030_munic.240,03011505502,030,1505502,Paragominas,240
qg_2022_030_munic.241,03011505536,030,1505536,Parauapebas,241
qg_2022_030_munic.242,03011505551,030,1505551,Pau D'Arco,242
qg_2022_030_munic.243,03011505601,030,1505601,Peixe-Boi,243
qg_2022_030_munic.244,03011505635,030,1505635,Piçarra,244
qg_2022_030_munic.245,03011505650,030,1505650,Placas,245
qg_2022_030_munic.246,03011505700,030,1505700,Ponta de Pedras,246
qg_2022_030_munic.247,03011505809,030,1505809,Portel,247
qg_2022_030_munic.248,03011505908,030,1505908,Porto de Moz,248
qg_2022_030_munic.249,03011506005,030,1506005,Prainha,249
qg_2022_030_munic.250,03011506104,030,1506104,Primavera,250
qg_2022_030_munic.251,03011506112,030,1506112,Quatipuru,251
qg_2022_030_munic.252,03011506138,030,1506138,Redenção,252
qg_2022_030_munic.253,03011506161,030,1506161,Rio Maria,253
qg_2022_030_munic.254,03011506187,030,1506187,Rondon do Pará,254
qg_2022_030_munic.255,03011506195,030,1506195,Rurópolis,255
qg_2022_030_munic.256,03011506203,030,1506203,Salinópolis,256
qg_2022_030_munic.257,03011506302,030,1506302,Salvaterra,257
qg_2022_030_munic.258,03011506351,030,1506351,Santa Bárbara do Pará,258
qg_2022_030_munic.259,03011506401,030,1506401,Santa Cruz do Arari,259
qg_2022_030_munic.260,03011506500,030,1506500,Santa Izabel do Pará,260
qg_2022_030_munic.261,03011506559,030,1506559,Santa Luzia do Pará,261
qg_2022_030_munic.262,03011506583,030,1506583,Santa Maria das Barreiras,262
qg_2022_030_munic.263,03011506609,030,1506609,Santa Maria do Pará,263
qg_2022_030_munic.264,03011506708,030,1506708,Santana do Araguaia,264
qg_2022_030_munic.265,03011506807,030,1506807,Santarém,265
qg_2022_030_munic.266,03011506906,030,1506906,Santarém Novo,266
qg_2022_030_munic.267,03011507003,030,1507003,Santo Antônio do Tauá,267
qg_2022_030_munic.268,03011507102,030,1507102,São Caetano de Odivelas,268
qg_2022_030_munic.269,03011507151,030,1507151,São Domingos do Araguaia,269
qg_2022_030_munic.270,03011507201,030,1507201,São Domingos do Capim,270
qg_2022_030_munic.271,03011507300,030,1507300,São Félix do Xingu,271
qg_2022_030_munic.272,03011507409,030,1507409,São Francisco do Pará,272
qg_2022_030_munic.273,03011507458,030,1507458,São Geraldo do Araguaia,273
qg_2022_030_munic.274,03011507466,030,1507466,São João da Ponta,274
qg_2022_030_munic.275,03011507474,030,1507474,São João de Pirabas,275
